證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"6579","研揚","86400","9991927","115.50","117.00","114.50","116.50","2.5000","137"
"6581","鋼聯","25540","2730720","106.00","108.50","105.50","106.50","0.5000","22"
"6582","申豐","44427","2445137","55.20","55.40","54.60","55.10","0.0000","90"
"6585","鼎基","496417","78043394","158.00","160.50","154.50","155.00","-1.0000","496"
"6591","動力-KY","94893","4745113","50.10","50.50","49.90","49.90","0.0500","126"
"6592","和潤企業","336021","26814528","79.70","80.10","79.20","79.90","0.4000","449"
"6592A","和潤企業甲特","5000","482800","96.60","96.60","96.40","96.40","0.1000","4"
"6592B","和潤企業乙特","13304","1303370","98.00","98.00","97.90","97.90","0.1000","7"
"6598","ABC-KY","236644","5434063","23.50","23.50","22.75","22.95","-0.2500","220"
"6605","帝寶","127494","27487637","215.00","217.00","214.00","215.50","2.5000","269"
"6606","建德工業","178244","4700617","26.35","26.95","26.05","26.60","0.3000","132"
"6625","必應","53096","4192562","79.00","79.20","78.70","79.00","0.0000","90"
"6641","基士德-KY","6136","179294","29.00","29.45","29.00","29.40","0.4000","8"
"6645","金萬林-創","22067","518573","23.40","23.55","23.40","23.40","-0.1000","23"
"6655","科定","22100","2857900","129.00","132.00","126.50","130.00","4.0000","23"
"6657","華安","475827","24867111","50.80","53.00","50.80","52.40","2.1000","383"
"6658","聯策","309903","20793591","66.80","67.60","66.30","67.20","0.4000","373"
"6666","羅麗芬-KY","8431","387282","46.40","46.40","45.75","45.90","-0.8000","38"
"6668","中揚光","440887","22355752","50.90","51.10","50.00","51.10","1.0000","311"
"6669","緯穎","5338091","12190839590","2360.00","2410.00","2215.00","2240.00","-125.0000","16850"
"6670","復盛應用","451729","148669970","328.00","330.50","326.50","328.50","2.0000","894"
"6671","三能-KY","12047","507242","42.00","42.50","42.00","42.25","0.0500","11"
"6672","騰輝電子-KY","2440238","196975785","81.00","82.60","79.50","80.40","0.4000","1975"
"6674","鋐寶科技","42100","972400","22.40","23.95","22.40","23.70","1.1000","36"
"6689","伊雲谷","1771131","203428998","111.50","118.00","109.50","115.50","6.0000","1774"
"6691","洋基工程","749481","359824031","492.00","492.50","470.50","476.50","-14.0000","1815"
"6695","芯鼎","393111","23241478","59.60","60.00","58.70","59.30","-0.2000","456"
"6698","旭暉應材","208210","7284840","34.85","35.45","34.50","35.45","0.6000","300"
"6706","惠特","2223539","231896310","103.50","106.50","102.00","104.00","1.0000","1826"
"6715","嘉基","87368","13196469","153.00","153.00","150.00","152.00","0.0000","277"
"6719","力智","900942","198815901","222.50","223.00","218.00","221.50","-1.5000","1144"
"6742","澤米","2266062","163013146","72.70","73.00","71.20","71.20","-1.8000","1794"
"6743","安普新","179636","7385978","41.30","41.55","40.80","41.55","0.5000","224"
"6753","龍德造船","1286057","137159060","104.00","109.50","103.00","108.00","5.0000","1325"
"6754","匯僑設計","33725","2189727","64.60","65.10","64.60","65.00","0.4000","50"
"6756","威鋒電子","131600","15839373","120.50","122.50","119.00","120.00","0.0000","468"
"6757","台灣虎航","12710008","1145147442","87.30","93.00","86.70","89.60","2.9000","7590"
"6768","志強-KY","3891428","516275328","128.00","136.00","127.00","136.00","12.0000","2487"
"6770","力積電","83176681","1655956501","19.95","19.95","19.50","19.95","1.8000","20006"
"6771","平和環保-創","6000","326700","54.70","54.70","54.30","54.30","0.3000","5"
"6776","展碁國際","233113","13888895","58.40","60.20","58.40","59.70","1.3000","341"
"6781","AES-KY","3349021","4143465940","1255.00","1275.00","1205.00","1215.00","-25.0000","4356"
"6782","視陽","341385","55501507","163.00","165.50","160.00","163.50","1.5000","391"
"6789","采鈺","2575893","845620853","328.00","333.00","325.00","327.50","0.0000","3631"
"6790","永豐實","72295","3033935","42.00","42.05","41.85","42.05","0.1000","92"
"6792","詠業","65286","3992044","60.60","62.70","59.40","62.70","2.8000","75"
"6794","向榮生技-創","23000","1559600","69.30","69.30","67.20","68.70","0.0000","18"
"6796","晉弘","18352","1602460","87.40","87.80","87.20","87.20","-0.2000","27"
"6799","來頡","1610702","169307224","99.30","107.50","98.10","107.50","9.6000","1656"
"6805","富世達","2069961","1475443579","715.00","724.00","694.00","720.00","24.0000","3117"
"6806","森崴能源","739365","83908504","113.00","115.00","112.00","114.00","2.0000","1121"
"6807","峰源-KY","29169","2337004","80.10","80.50","80.00","80.00","-0.1000","30"
"6830","汎銓","1790043","307592889","174.00","175.00","170.00","170.50","-1.5000","2200"
"6834","天二科技","129517","3942543","30.20","31.00","30.10","30.60","0.5500","106"
"6835","圓裕","50195","2050419","41.20","41.20","40.65","40.90","0.2500","48"
"6838","台新藥","137595","4712235","34.15","34.75","33.95","34.75","0.7000","119"
"6854","錼創科技-KY創","298910","63932753","214.50","217.50","211.50","213.00","-1.5000","381"
"6861","睿生光電","31302","1905654","61.10","61.20","60.70","61.00","-0.2000","39"
"6862","三集瑞-KY","45396","7136813","160.00","160.00","156.50","157.00","-0.5000","56"
"6863","永道-KY","1834196","526477268","283.00","293.00","278.00","289.00","6.5000","2611"
"6869","雲豹能源","1651833","277987652","163.50","171.50","163.50","170.00","6.0000","1761"
"6873","泓德能源","424790","81493426","191.50","194.50","190.50","192.00","1.0000","489"
"6885","全福生技","249970","7214906","28.50","29.85","28.50","29.85","1.2000","159"
"6890","來億-KY","1266507","624900180","480.00","501.00","477.00","495.00","23.5000","1584"
"6901","鑽石投資","244285","7655712","31.20","31.50","31.10","31.50","0.4000","252"
"6902","GOGOLOOK-創","3390","393425","116.00","117.00","115.00","117.00","0.0000","24"
"6906","現觀科","34080","4538434","134.00","134.00","132.00","132.50","-1.5000","84"
"6914","阜爾運通","54317","6539088","120.50","121.50","119.50","120.50","0.5000","84"
"6916","華凌","14000","321050","22.80","23.00","22.80","23.00","0.1500","12"
"6919","康霈*","1633085","1156139752","705.00","722.00","696.00","698.00","-4.0000","5838"
"6923","中台","76865","5880935","75.90","77.00","75.50","76.40","0.9000","80"
"6924","榮惠-KY創","9000","807800","89.20","90.00","89.20","90.00","0.5000","9"
"6928","攸泰科技","292062","18815291","64.90","65.60","63.50","64.90","0.4000","373"
"6931","青松健康","118175","8436528","71.90","72.00","70.40","71.70","-0.5000","464"
"6933","AMAX-KY","54834","11414603","207.50","211.50","206.50","211.00","2.5000","433"
"6937","天虹","459669","147523841","320.00","323.00","318.50","320.00","1.0000","662"
"6949","沛爾生醫-創","32000","2531800","79.20","79.80","79.00","79.00","0.0000","27"
"6951","青新-創","121872","8495280","68.80","71.00","68.80","70.00","2.0000","96"
"6952","大武山","101748","5055809","49.80","50.00","49.00","49.90","0.3000","118"
"6955","邦睿生技-創","12000","1720500","142.50","144.00","142.50","144.00","1.5000","8"
"6957","裕慶-KY","90507","19175557","212.50","214.00","209.50","211.50","2.0000","392"
"6958","日盛台駿","38771","941763","24.30","24.40","24.05","24.35","0.1000","38"
"6962","ITH-KY","1571213","82024026","52.40","52.60","51.80","52.30","0.1000","1295"
"6969","成信實業*-創","93000","3872250","41.75","41.75","41.50","41.60","-0.1500","33"
"6988","威力暘-創","61367","1787661","29.25","29.35","28.90","29.35","-0.2000","59"
"6994","富威電力","1016780","98069305","92.00","98.80","91.10","97.70","6.9000","1026"
"7705","三商餐飲","53332","3674091","68.40","69.30","68.40","69.30","0.8000","97"
"7722","LINEPAY","612210","445287932","701.00","748.00","698.00","743.00","42.0000","3900"
"7732","金興精密","69574","2994527","43.20","43.55","42.20","43.50","0.2000","269"
"8011","台通","706281","15894404","22.75","22.75","22.35","22.55","0.0500","498"
"8016","矽創","351001","73615572","211.00","211.50","208.50","209.50","-0.5000","430"
"8021","尖點","400417","13118765","32.65","32.90","32.50","32.90","0.5000","402"
"8028","昇陽半導體","7284160","905972072","127.50","128.50","123.00","123.50","-2.0000","5423"
"8033","雷虎","4543587","313136084","69.50","70.40","68.20","68.60","0.4000","3519"
"8039","台虹","2109469","94711826","44.80","45.30","44.40","45.20","0.8000","1664"
"8045","達運光電","385191","45006640","117.00","120.00","115.00","117.00","0.0000","455"
"8046","南電","4173111","564562870","132.50","138.50","131.00","136.00","4.0000","3441"
"8070","長華*","2775771","121327259","43.90","44.40","43.40","43.50","0.3000","1797"
"8072","陞泰","28533","693137","23.85","24.50","23.80","24.35","0.4500","68"
"8081","致新","260085","59153719","228.50","229.50","226.00","227.50","0.0000","327"
"8101","華冠","26826","493413","18.20","18.75","18.20","18.40","-0.2000","78"
"8103","瀚荃","368208","18231088","49.70","49.90","49.30","49.60","0.0000","313"
"8104","錸寶","817623","33619026","41.40","41.80","40.60","41.15","0.2000","604"
"8105","凌巨","2346240","32467713","13.85","14.05","13.65","13.85","0.1500","1013"
"8110","華東","415240","5567154","13.40","13.50","13.25","13.50","0.2000","256"
"8112","至上","1242372","75413920","60.90","61.00","60.30","60.70","0.2000","1511"
"8112A","至上甲特","9138","402213","44.00","44.05","44.00","44.05","0.1000","21"
"8114","振樺電","1061636","356525437","324.00","343.00","324.00","336.50","12.5000","1676"
"8131","福懋科","288322","8305346","28.85","28.90","28.65","28.90","0.2000","219"
"8150","南茂","7490785","241405204","31.50","33.05","31.35","31.95","1.5500","4619"
"8162","微矽電子-創","44000","1763650","39.85","40.30","39.80","40.30","0.3500","21"
"8163","達方","378696","16578446","43.50","43.95","43.40","43.70","0.3000","452"
"8201","無敵","24080","342424","14.30","14.30","14.15","14.20","-0.1500","21"
"8210","勤誠","942419","248214187","263.50","265.00","259.00","265.00","6.0000","1008"
"8213","志超","239694","8119322","33.90","34.00","33.75","33.80","-0.1000","306"
"8215","明基材","260151","7754947","29.55","29.95","29.50","29.80","0.3500","269"
"8222","寶一","184698","6962386","38.70","38.90","37.40","37.40","-0.7000","332"
"8249","菱光","2533876","121192008","48.00","48.45","47.20","48.30","0.2000","1794"
"8261","富鼎","649701","52883922","81.30","82.00","81.00","82.00","0.9000","498"
"8271","宇瞻","134327","6040383","45.00","45.20","44.80","44.90","0.0000","164"
"8341","日友","51393","4269484","82.50","83.50","82.50","83.00","0.7000","137"
"8367","建新國際","35084","1594706","45.30","45.55","45.30","45.50","0.3000","36"
"8374","羅昇","609558","73240168","122.00","122.00","119.00","120.50","1.5000","749"
"8404","百和興業-KY","2646582","68278420","26.65","26.75","25.30","25.75","-0.6000","1271"
"8411","福貞-KY","38552","506528","13.15","13.20","13.05","13.15","0.0500","68"
"8422","可寧衛","121308","21749219","179.50","180.00","178.50","179.50","0.5000","231"
"8429","金麗-KY","1038034","10477301","10.15","10.15","10.00","10.10","-0.0500","523"
"8438","昶昕","38346","1155575","30.20","30.30","30.00","30.25","0.3500","48"
"8442","威宏-KY","95773","9513293","99.00","99.90","99.00","99.40","1.2000","259"
"8443","阿瘦","12064","141369","11.70","11.75","11.65","11.75","0.0500","99"
"8454","富邦媒","202334","71618973","359.00","359.00","352.00","352.50","-3.0000","771"
"8462","柏文","42538","4835843","112.50","114.00","112.50","114.00","1.5000","73"
"8463","潤泰材","60004","1445896","24.55","24.55","24.05","24.05","0.0000","40"
"8464","億豐","986903","431942618","450.50","455.00","430.50","435.50","-14.5000","2114"
"8466","美吉吉-KY","196569","8432545","41.95","44.00","41.85","44.00","2.1000","135"
"8467","波力-KY","186395","49188203","262.50","265.50","262.00","263.50","4.5000","181"
"8473","山林水","626875","23798036","37.35","38.50","37.35","37.70","0.2500","813"
"8476","台境*","397060","10005694","23.60","25.95","23.60","25.95","2.3500","284"
"8478","東哥遊艇","140936","27148835","194.50","194.50","190.50","193.50","0.0000","270"
"8481","政伸","6800","340133","50.00","50.10","50.00","50.10","0.1500","19"
"8482","商億-KY","1275377","135533662","109.50","112.50","98.10","99.60","-9.4000","877"
"8487","愛爾達-創","267","19224","","","","","0.0000","10"
"8488","吉源-KY","","","","","","","0.0000",""
"8499","鼎炫-KY","48201","5866508","119.50","124.00","119.50","122.50","3.5000","104"
"8926","台汽電","400665","16469042","41.15","41.30","40.95","41.20","0.1000","531"
"8940","新天地","56576","1330617","23.50","23.65","23.20","23.65","0.1000","63"
"8996","高力","1203710","353242601","293.00","297.00","290.50","293.50","5.5000","1142"
"9103","美德醫療-DR","206143","1330446","6.60","6.60","6.32","6.37","0.1300","109"
"910322","康師傅-DR","51799","1247176","24.10","24.20","24.05","24.10","0.0000","53"
"9105","泰金寶-DR","54632322","460971943","8.42","8.55","8.35","8.40","0.0500","10334"
"910861","神州-DR","33202","212468","6.45","6.45","6.30","6.33","-0.1200","19"
"9110","越南控-DR","","","","","","","0.0000",""
"911608","明輝-DR","97100","317629","3.25","3.34","3.25","3.26","0.0100","34"
"911622","泰聚亨-DR","9003","40483","4.46","4.59","4.46","4.56","0.0200","10"
"911868","同方友友-DR","89667","129469","1.45","1.45","1.44","1.45","0.0000","37"
"912000","晨訊科-DR","437720","1355789","3.08","3.12","3.08","3.08","0.0000","124"
"9136","巨騰-DR","96880","629557","6.50","6.53","6.46","6.51","0.0100","59"
"9802","鈺齊-KY","4591502","634452444","135.50","141.00","133.50","140.50","6.0000","3348"
"9902","台火","85578","1319324","15.30","15.50","15.25","15.35","0.1000","93"
"9904","寶成","10414184","380577696","36.35","36.70","36.20","36.65","0.5000","3341"
"9905","大華","79272","1823020","23.05","23.05","22.85","23.05","0.0500","56"
"9906","欣巴巴","170160","18469623","107.00","111.00","105.50","110.00","2.5000","228"
"9907","統一實","749252","11303747","15.15","15.15","15.00","15.10","0.0500","443"
"9908","大台北","103370","3135405","30.30","30.40","30.20","30.35","0.0500","88"
"9910","豐泰","928106","120911670","128.50","132.00","128.00","132.00","4.5000","718"
"9911","櫻花","173353","14439701","83.30","83.70","83.10","83.30","0.2000","258"
"9912","偉聯","99898","1187638","11.95","12.00","11.80","12.00","0.1500","75"
"9914","美利達","553258","86773069","160.50","160.50","155.00","157.50","0.5000","648"
"9917","中保科","241240","29886457","125.00","125.50","123.50","123.50","-0.5000","295"
"9918","欣天然","9573","379781","39.65","39.70","39.50","39.50","-0.2000","36"
"9919","康那香","1214857","23655633","19.40","19.65","19.30","19.65","0.2500","749"
"9921","巨大","1148214","167798966","148.50","148.50","145.00","146.50","0.5000","1306"
"9924","福興","161221","8395308","52.00","52.40","51.80","52.10","0.3000","159"
"9925","新保","52590","2149734","41.05","41.05","40.75","40.95","0.0500","60"
"9926","新海","5068","261274","51.60","51.90","51.40","51.40","0.0000","9"
"9927","泰銘","112551","7418967","65.60","66.40","65.60","66.10","0.7000","244"
"9928","中視","32147","489932","15.10","15.30","15.10","15.25","0.1500","36"
"9929","秋雨","4172","65684","15.80","15.80","15.60","15.80","0.0500","5"
"9930","中聯資源","67142","4504629","67.50","67.50","66.70","67.20","0.0000","321"
"9931","欣高","304","10493","","","","","0.0000","7"
"9933","中鼎","1838484","72818080","39.80","39.85","39.40","39.60","0.1000","1041"
"9934","成霖","442551","6106863","13.85","13.90","13.70","13.90","0.0500","219"
"9935","慶豐富","706198","20876027","29.75","29.75","29.40","29.55","0.1500","287"
"9937","全國","11020","704732","64.00","64.00","63.90","63.90","-0.1000","16"
"9938","百和","2972442","199069789","68.00","68.20","66.40","67.10","-0.4000","1679"
"9939","宏全","1355969","217222108","157.00","162.00","157.00","161.50","3.0000","1822"
"9940","信義","143106","4033106","28.30","28.30","28.10","28.10","0.0000","136"
"9941","裕融","963877","108845798","115.00","115.00","112.00","114.00","0.0000","1421"
"9941A","裕融甲特","644","33042","","","","","0.0000","5"
"9942","茂順","33966","3862796","113.50","114.00","113.50","114.00","0.0000","43"
"9943","好樂迪","79484","6144580","77.00","77.60","77.00","77.50","0.6000","111"
"9944","新麗","227403","4561040","20.05","20.20","19.95","20.15","0.1500","174"
"9945","潤泰新","2841504","119997397","42.30","42.45","42.10","42.30","0.1000","2103"
"9946","三發地產","171096","3554536","20.80","21.00","20.55","20.95","0.2500","129"
"9955","佳龍","294088","8428316","28.90","28.90","28.40","28.80","0.6500","221"
"9958","世紀鋼","1771289","280417184","157.00","160.50","156.00","160.50","5.0000","1529"
